Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
T	C	C	C	C
ZZEF1	+			+
ZSWIM8	+			
ZSCAN5D	+			
ZSCAN31	+			
ZSCAN10	+			
ZRANB3	+			
ZPR1	+			
ZNRF2	+			+
ZNRF1	+			+
ZNF99	+			
ZNF93	+			
ZNF92	+			
ZNF90	+			
ZNF862	+			
ZNF85	+			
ZNF792	+			
ZNF791	+			
ZNF785	+			
ZNF780A	+			
ZNF766	+			
ZNF737	+			
ZNF736	+			
ZNF735	+			
ZNF730	+			
ZNF728	+			
ZNF726	+			
ZNF724P	+			
ZNF720	+			
ZNF708	+			
ZNF701	+			
ZNF7	+			
ZNF695	+			
ZNF691	+			
ZNF687	+			
ZNF678	+			
ZNF675	+			
ZNF670	+			
ZNF665	+			
ZNF66	+			
ZNF653	+			
ZNF628	+			
ZNF626	+			
ZNF625	+			
ZNF619	+			
ZNF593	+			
ZNF592	+			
ZNF564	+			
ZNF561-AS1	+			
ZNF56	+			
ZNF513	+			
ZNF506	+			
ZNF503-AS2	+			
ZNF491	+			
ZNF451	+			
ZNF433	+			
ZNF43	+			
ZNF429	+			
ZNF419	+			
ZNF414	+			
ZNF41	+			
ZNF385C	+			
ZNF337	+			
ZNF326	+			
ZNF324B	+			
ZNF286A	+			
ZNF280D	+			
ZNF280A	+			
ZNF276	+			
ZNF267	+			
ZNF257	+			
ZNF253	+			
ZNF236	+			
ZNF235	+			
ZNF233	+			
ZNF219	+			
ZNF208	+			
ZNF207	+			
ZNF189	+			
ZNF17	+			
ZNF138	+			
ZNF133	+			
ZNF131	+			
ZNF112	+			
ZMYND10	+			
ZMPSTE24	+			
ZMAT5	+			
ZMAT2	+			
ZGRF1	+			
ZGPAT	+			
ZG16B	+			
ZFYVE28	+			
ZFYVE19	+			
ZFYVE16	+			
ZFR	+			
ZFPL1	+			
ZFP36L1	+			
ZFP3	+			
ZFAND3	+			
ZDHHC6	+			
ZDHHC24	+			
ZDHHC21	+			
ZDHHC17	+			
ZDHHC14	+			
ZCWPW1	+			
ZCCHC6	+			
ZCCHC2	+			
ZCCHC17	+			
ZC3H18	+			
ZC3H12C	+			
ZBTB8OS	+			
ZBTB7B	+			
ZBTB47	+			
ZBTB44	+			
ZBTB39	+			
ZBTB16	+			
YY1AP1	+			
YWHAH	+			
YTHDC1	+			
YL5	+			
YIPF2	+			
YES1	+			+
YEATS2	+			
YARS	+			
YAF2	+			
XXYLT1	+			
XRN2	+			
XRN1	+			
XRCC1	+			
XPO5	+			
XKR5	+			
X11B	+			
WWP1	+			
WT1	+			
WSCD1	+			
WNT8A	+			
WNT7B	+			
WNT10A	+			
WNT1	+			
WNK2	+			
WISP3	+			
WFDC6	+			
WFDC12	+			
WDR86	+			
WDR83	+			
WDR73	+			
WDR64	+			
WDR62	+			
WDR6	+			
WDR41	+			
WDR35	+			
WDR34	+			
WDR3	+			
WDR26	+			
WDR24	+			
WDHD1	+	+		
WBSCR22	+			
WBP2	+			
WBP11	+			
VWF	+			
VSTM2L	+			
VSNL1	+			+
VSIG8	+			
VSIG4	+			
VPS51	+			
VPS16	+			
VLDLR	+			
VKORC1	+			
VIT	+			
VAX2	+			
VASH1	+			
VARS2	+			
USP45	+			
USP40	+			
USP32	+			
USP28	+			
USP20	+			
USP17L8	+			
USP17L4	+			
USP17L3	+			
USP17L1	+			
USP16	+			
USP15	+			
URB1-AS1	+			
URB1	+			
UQCRQ	+			
UQCRHL	+			
UQCRH	+			
UPK3B	+			
UNQ1870	+			
UNG	+			
UNC5D	+			
UNC5B	+			
UMOD	+			
UHRF1	+			
UGT2B7	+			
UGGT1	+			
UGDH	+			
UFSP1	+			
UCP1	+			
UBTD2	+			
UBTD1	+			
UBR5	+			
UBR4	+			
UBN1	+			
UBE2Q2L	+			
UBE2Q2	+			
UBAC2	+			
UBA1	+			
UAP1L1	+			
TYROBP	+			
TYRO3	+			
TYK2	+			
TXNRD1	+			
TUSC3	+			
TUSC2	+			+
TUSC1	+			
TULP3	+			
TUBGCP4	+			
TUBA4A	+			
TUB	+			
TTYH3	+			
TTYH1	+			
TTLL6	+			
TTLL10	+			
TTC39B	+			
TTC39A	+			
TTC36	+			
TTC31	+			
TTC27	+			
TTC19	+			
TTC17	+			
TTC1	+			
TSTA3	+			
TSSK4	+			
TSR3	+			
TSPO	+			
TSPAN32	+			
TSPAN3	+			
TSPAN2	+			
TSPAN17	+			
TSNAXIP1	+			
TSKS	+			
TSGA10IP	+			
TSEN54	+			
TSC22D3	+			
TSC22D1	+			
TSAR-AS2	+			
TRUB2	+			
TRPV6	+			
TRPV5	+			
TRPV3	+			
TRPT1	+			
TRPM7	+			
TRPM5	+			
TRPM3	+			
TRPM1	+			
TRNP1	+			
TRIT1	+			
TRIQK	+			
TRIP13	+			
TRIOBP	+			
TRIM5	+			
TRIM46	+			
TRIM45	+			
TRIM22	+			
TRIM21	+			
TRHDE	+			
TRGV11	+			
TREX2	+			
TREX1	+			
TRERF1	+			
TREML1	+			
TRBV9	+			
TRBV7-3	+			
TRBV7-1	+			
TRBV5-7	+			
TRBV5-4	+			
TRBV5-3	+			
TRBV28	+			
TRBV23-1	+			
TRBV15	+			
TRBV12-4	+			
TRBC2	+			
TRAPPC3	+			
TRAM1L1	+			
TRAJ37	+			
TRAJ3	+			
TRAF4	+			
TPT1	+			
TPP1	+			
TPM4	+			
TPD52	+			
TPCN1	+			
TP53AIP1	+			
TOR3A	+			
TOPORS	+			
TOMM40L	+			
TOMM40	+			
TNS1	+			
TNRC18	+			
TNR	+			
TNNI3K	+			
TNNI2	+			
TNKS	+			
TNK2	+			
TNFSF13	+			
TNFRSF9	+			
TNFRSF21	+			
TNFRSF1A	+		+	
TNFRSF14	+			
TNFRSF10D	+			
TNFAIP8L3	+			
TNC	+			
TMUB2	+			
TMPRSS4	+			
TMPRSS3	+			
TMPRSS15	+			+
TMIGD2	+			
TMEM97	+			
TMEM91	+			
TMEM8C	+			
TMEM8A	+			
TMEM64	+			
TMEM52B	+			
TMEM52	+			
TMEM45A	+			
TMEM44	+			
TMEM39B	+			
TMEM261	+			
TMEM259	+			
TMEM237	+			
TMEM219	+			
TMEM205	+			
TMEM198	+			
TMEM194B	+			
TMEM184C	+			
TMEM181	+			
TMEM180	+			
TMEM18	+			
TMEM176A	+			
TMEM161B	+			
TMEM160	+			
TMEM143	+			
TMEM131	+			
TMEM126B	+			
TMEM123	+			
TMEM117	+			
TMEM107	+			
TMEM106C	+			+
TMEM106B	+			+
TMEM106A	+			
TMEM101	+			
TMEFF1	+			
TMED5	+			
TMED3	+			
TMBIM1	+			
TMA16	+			
TM7SF3	+			
TM4SF18	+			
TLR9	+			
TLR5	+			
TLL1	+			
TLDC1	+			+
TLCD1	+			
TK2	+			
TINF2	+			
TIMP2	+			
TICAM2	+			+
TIAM2	+			+
TIAM1	+			+
THSD7A	+			
THOP1	+			
THOC7	+			
THEG	+			
THBS4	+			
THBS1	+			
THADA	+			
TGFBR3L	+			
TGFBR2	+			
TG	+			
TFIP11	+			
TFF2	+			
TEX26	+			
TEX2	+			
TEX101	+			
TESC	+			+
TES	+			
TEPP	+			
TECR	+		+	
TECPR1	+			
TEAD4	+			
TEAD3	+			
TEAD2	+			
TDG	+			
TCTN2	+			
TCRBV9S1A1T	+			
TCRBV7S3A2	+			
TCRBV7S1A1N2T	+			
TCRBV6S8A2T	+			
TCRBV6S6A2T	+			
TCRBV6S4A1	+			
TCRBV6S3A1N1T	+			
TCRBV5S3A2T	+			
TCRBV5S2	+			
TCRBV5S1A1T	+			
TCRBV3S1	+			
TCRBV21S2A2	+			
TCRBV14S1	+			
TCRBV12S3	+			
TCRBV12S2	+			
TCRBV12S1A1N2	+			
TCRB	+			
TCP11	+			
TCOF1	+			
TCIRG1	+			
TCF4	+			
TCF25	+			
TCF20	+			
TCF12	+			
TCEA3	+			
TBX21	+			
TBL2	+			
TBCEL	+			
TBCD	+			
TBC1D29	+			
TBC1D23	+			
TAZ	+			
TAS2R14	+			
TAS1R2	+			
TAPBPL	+			
TANK	+			
TANC2	+			
TAGAP	+			
TAF15	+			
TAF1	+			
TACR2	+			
TACC2	+			
TACC1	+			+
T100	+			
SYVN1	+			
SYT8	+			
SYT17	+			
SYT15	+			
SYP	+			
