EHOMO	ELUMO	Q"	MOA	Class
-9.902	-0.4367	-0.0372	1	1
-11.417	0.6838	-0.1151	1	1
-11.372	1.0193	-0.1625	1	1
-11.39	0.5946	-0.1854	1	1
-8.972	0.503	-0.2105	1	1
-11.655	-0.0738	-0.2785	1	1
-9.89	-0.5146	-0.4423	1	1
-10.493	0.8962	-0.4713	1	1
-11.006	1.137	-0.5045	1	1
-10.616	3.396	-0.5584	1	1
-8.691	0.4322	-0.475	2	-1
-10.367	-1.2855	-0.4842	2	-1
-8.912	0.4334	-0.4931	2	-1
-8.784	0.3979	-0.498	2	-1
-10.305	-1.0449	-0.5017	2	-1
-9.256	-0.9066	-0.6434	2	-1
-8.376	0.3928	-0.6743	2	-1
-9.272	-1.0127	-0.836	2	-1
-8.356	0.6156	-0.9429	2	-1
-8.379	0.6219	-0.9589	2	-1
